test_name,precision,row_count,hll_estimate,exact_count,relative_error,duration_ms,storage_bytes,run_number
hll_p10,10,100000,10071.168897818,10000,0.71168897818000000000,11.199000,647,1
hll_p10,10,100000,10071.168897818,10000,0.71168897818000000000,11.005000,647,2
hll_p10,10,100000,10071.168897818,10000,0.71168897818000000000,11.862000,647,3
hll_p10,10,100000,10071.168897818,10000,0.71168897818000000000,11.533000,647,4
hll_p10,10,100000,10071.168897818,10000,0.71168897818000000000,11.135000,647,5
hll_p12,12,100000,9937.39552724407,10000,0.62604472755930000000,12.054000,2567,1
hll_p12,12,100000,9937.39552724407,10000,0.62604472755930000000,11.256000,2567,2
hll_p12,12,100000,9937.39552724407,10000,0.62604472755930000000,11.536000,2567,3
hll_p12,12,100000,9937.39552724407,10000,0.62604472755930000000,11.895000,2567,4
hll_p12,12,100000,9937.39552724407,10000,0.62604472755930000000,11.304000,2567,5
hll_p14,14,100000,9972.6487442675,10000,0.27351255732500000000,11.485000,10247,1
hll_p14,14,100000,9972.6487442675,10000,0.27351255732500000000,11.550000,10247,2
hll_p14,14,100000,9972.6487442675,10000,0.27351255732500000000,11.174000,10247,3
hll_p14,14,100000,9972.6487442675,10000,0.27351255732500000000,11.184000,10247,4
hll_p14,14,100000,9972.6487442675,10000,0.27351255732500000000,11.648000,10247,5
