test_name,dataset_size,precision,row_count,hll_estimate,exact_count,relative_error,duration_ms,storage_bytes,run_number
hll_p10,10000,10,10000,978.043797812756,1001,2.29332689183256743300,1.346000,647,1
hll_p10,10000,10,10000,978.043797812756,1001,2.29332689183256743300,1.161000,647,2
hll_p10,10000,10,10000,978.043797812756,1001,2.29332689183256743300,1.209000,647,3
hll_p10,10000,10,10000,978.043797812756,1001,2.29332689183256743300,1.197000,647,4
hll_p10,10000,10,10000,978.043797812756,1001,2.29332689183256743300,1.236000,647,5
hll_p12,10000,12,10000,993.257965248044,1001,0.77343004515044955000,1.312000,1882,1
hll_p12,10000,12,10000,993.257965248044,1001,0.77343004515044955000,1.257000,1882,2
hll_p12,10000,12,10000,993.257965248044,1001,0.77343004515044955000,1.208000,1882,3
hll_p12,10000,12,10000,993.257965248044,1001,0.77343004515044955000,1.192000,1882,4
hll_p12,10000,12,10000,993.257965248044,1001,0.77343004515044955000,1.177000,1882,5
hll_p14,10000,14,10000,1001,1001,0.00000000000000000000,2.020000,8015,1
hll_p14,10000,14,10000,1001,1001,0.00000000000000000000,2.009000,8015,2
hll_p14,10000,14,10000,1001,1001,0.00000000000000000000,2.031000,8015,3
hll_p14,10000,14,10000,1001,1001,0.00000000000000000000,2.190000,8015,4
hll_p14,10000,14,10000,1001,1001,0.00000000000000000000,1.945000,8015,5
hll_p10,100000,10,100000,10071.168897818,10001,0.70161881629837016300,11.467000,647,1
hll_p10,100000,10,100000,10071.168897818,10001,0.70161881629837016300,12.112000,647,2
hll_p10,100000,10,100000,10071.168897818,10001,0.70161881629837016300,11.399000,647,3
hll_p10,100000,10,100000,10071.168897818,10001,0.70161881629837016300,10.988000,647,4
hll_p10,100000,10,100000,10071.168897818,10001,0.70161881629837016300,10.967000,647,5
hll_p12,100000,12,100000,9937.39552724407,10001,0.63598112944635536400,11.012000,2567,1
hll_p12,100000,12,100000,9937.39552724407,10001,0.63598112944635536400,11.447000,2567,2
hll_p12,100000,12,100000,9937.39552724407,10001,0.63598112944635536400,10.878000,2567,3
hll_p12,100000,12,100000,9937.39552724407,10001,0.63598112944635536400,11.463000,2567,4
hll_p12,100000,12,100000,9937.39552724407,10001,0.63598112944635536400,11.270000,2567,5
hll_p14,100000,14,100000,9972.6487442675,10001,0.28348420890410958900,11.399000,10247,1
hll_p14,100000,14,100000,9972.6487442675,10001,0.28348420890410958900,11.713000,10247,2
hll_p14,100000,14,100000,9972.6487442675,10001,0.28348420890410958900,11.186000,10247,3
hll_p14,100000,14,100000,9972.6487442675,10001,0.28348420890410958900,12.089000,10247,4
hll_p14,100000,14,100000,9972.6487442675,10001,0.28348420890410958900,10.792000,10247,5
hll_p10,1000000,10,1000000,97690.9274514163,99999,2.30809562953999540000,117.709000,647,1
hll_p10,1000000,10,1000000,97690.9274514163,99999,2.30809562953999540000,118.360000,647,2
hll_p10,1000000,10,1000000,97690.9274514163,99999,2.30809562953999540000,117.353000,647,3
hll_p10,1000000,10,1000000,97690.9274514163,99999,2.30809562953999540000,115.686000,647,4
hll_p10,1000000,10,1000000,97690.9274514163,99999,2.30809562953999540000,117.598000,647,5
hll_p12,1000000,12,1000000,101281.538117276,99999,1.28255094278542785400,116.731000,2567,1
hll_p12,1000000,12,1000000,101281.538117276,99999,1.28255094278542785400,115.383000,2567,2
hll_p12,1000000,12,1000000,101281.538117276,99999,1.28255094278542785400,115.275000,2567,3
hll_p12,1000000,12,1000000,101281.538117276,99999,1.28255094278542785400,119.169000,2567,4
hll_p12,1000000,12,1000000,101281.538117276,99999,1.28255094278542785400,115.642000,2567,5
hll_p14,1000000,14,1000000,100487.211221186,99999,0.48821610334703347000,119.136000,10247,1
hll_p14,1000000,14,1000000,100487.211221186,99999,0.48821610334703347000,119.297000,10247,2
hll_p14,1000000,14,1000000,100487.211221186,99999,0.48821610334703347000,121.579000,10247,3
hll_p14,1000000,14,1000000,100487.211221186,99999,0.48821610334703347000,118.670000,10247,4
hll_p14,1000000,14,1000000,100487.211221186,99999,0.48821610334703347000,116.753000,10247,5
hll_p10,10000000,10,10000000,984962.717242778,999958,1.49959125855505931200,1211.461000,647,1
hll_p10,10000000,10,10000000,984962.717242778,999958,1.49959125855505931200,1190.403000,647,2
hll_p10,10000000,10,10000000,984962.717242778,999958,1.49959125855505931200,1216.895000,647,3
hll_p10,10000000,10,10000000,984962.717242778,999958,1.49959125855505931200,1194.470000,647,4
hll_p10,10000000,10,10000000,984962.717242778,999958,1.49959125855505931200,1199.797000,647,5
hll_p12,10000000,12,10000000,993233.765857492,999958,0.67245165722040325700,1196.999000,2567,1
hll_p12,10000000,12,10000000,993233.765857492,999958,0.67245165722040325700,1189.082000,2567,2
hll_p12,10000000,12,10000000,993233.765857492,999958,0.67245165722040325700,1195.405000,2567,3
hll_p12,10000000,12,10000000,993233.765857492,999958,0.67245165722040325700,1209.723000,2567,4
hll_p12,10000000,12,10000000,993233.765857492,999958,0.67245165722040325700,1200.040000,2567,5
hll_p14,10000000,14,10000000,994922.454638538,999958,0.50357568632502565100,1203.664000,10247,1
hll_p14,10000000,14,10000000,994922.454638538,999958,0.50357568632502565100,1205.260000,10247,2
hll_p14,10000000,14,10000000,994922.454638538,999958,0.50357568632502565100,1198.231000,10247,3
hll_p14,10000000,14,10000000,994922.454638538,999958,0.50357568632502565100,1216.386000,10247,4
hll_p14,10000000,14,10000000,994922.454638538,999958,0.50357568632502565100,1190.663000,10247,5
